比赛项目,报名开启时间,报名渠道,创建人,分项规模,官网,完赛经历要求,体检报告,奖牌,官方邮箱,联系电话,运营单位,出签日期,省份,赛事等级,退出机制,报名截止时间,比赛路线,抽签,起点,状态,主办单位,比赛日期,报名费,缴费时间,总规模,最后编辑人,微信公众号,赛事
半程 / 短距离,2025-06-25 10:00,官网/微信/小程序,,6000/4000,,未提及,必须,,jinanlupaowenhua@foxmail.com,0531-87942195,济南路跑文化传播有限公司,,山东,A,,2025-08-15 17:00,,❌,,已结束,威海市体育局 / 荣成市人民政府,2025-09-20 00:00,120/60,报名时缴费,10000,,荣成好运角半程马拉松,荣成好运角半程马拉松
全程 / 半程 / 短距离,2025-08-09 10:00,官网/微信/小程序 / 马拉马拉 / 数字心动,,18000/10000/5000,https://www.tianjin-marathon.com,未提及,自行评估,,oc@tianjin-marathon.com,13164230530,中奥路跑(北京)体育管理有限公司,2025-08-22 00:00,天津,A,9月10日10时至9月13日18时退出,2025-08-15 10:00,,✔️,,已结束,天津市人民政府,2025-10-26 00:00,200/150/100,中签后缴费,33000,,天津马拉松,天津马拉松
10km,2025-08-11 14:00,官网/微信/小程序,,3500,https://hkaaa.com/tc/comp_details.php?id=270,未提及,未提及,,events@hkaaa.com,,,,香港,HK / WA,,2025-09-12 14:00,,❌,,已结束,中国香港田径总会,2025-10-19 00:00,HK$350,报名时缴费,3500,,,香港十公里錦標賽
全程 / 半程 / 中距离 / 短距离,2025-06-18 10:00,官网/微信/小程序 / 数字心动,,2000/5000/4000/9000,https://www.tianmenmarathon.com,半程或以上,可用完赛证书,,hutongquanma@126.com,19907155922,湖北互通有道体育科技有限公司,2025-09-18 00:00,湖北,A,,2025-09-10 10:00,,✔️,陆羽广场,已结束,湖北省体育局 / 天门市人民政府,2025-10-12 17:54,150/120/80/60,报名时缴费,20000,,天门马拉松,天门马拉松
半程 / 短距离,2025-08-14 10:00,官网/微信/小程序 / 数字心动,,5000/3000,https://yanan-marathon.shuzixindong.com,未提及,自行评估,,ximahuipao@163.com,400-11-42195,西安西马汇跑赛事运营有限公司,2025-08-25 00:00,陕西,A,,2025-08-19 18:00,,✔️,延安革命纪念馆,已结束,陕西省体育局 / 延安市人民政府,2025-09-21 10:41,150/80,报名时缴费,8000,,西马汇跑,延安红色半程马拉松
半程 / 短距离,2025-08-21 10:00,官网/微信/小程序 / 数字心动,,7000/8000,,未提及,未提及,,,17316784625,重庆云动风行体育文化传播有限公司,,重庆,B,,2025-09-29 18:00,,❌,重庆龙兴足球场,已结束,重庆两江新区管理委员会,2025-10-18 00:00,150/80,报名时缴费,15000,,云动重庆,重庆两江摇滚半程马拉松
半程 / 短距离,2025-07-18 15:00,官网/微信/小程序 / 数字心动 / 跑跑网(马拉松报名) / 最酷 / 我要赛,,6000/4000,,未提及,自行评估,,,17316784625,重庆渝跑悦动体育发展有限公司,,四川,B,伤病可退,2025-08-15 17:00,,❌,长宁站,已结束,长宁县人民政府 / 宜宾市蜀南竹海兴文石海文化生态旅游示范区,2025-09-21 10:41,120/60,报名时缴费,10000,,,长宁·蜀南竹海半程马拉松
半程 / 中距离 / 短距离,2025-07-15 12:00,官网/微信/小程序,,3000/500/3500,,亚高原或高原半程马拉松或40公里以上越野赛或拉萨半马完赛,必须,,,18008053490,成都中体大健康体育文化传播有限公司,,西藏,A,,2025-08-10 17:00,,❌,,已结束,拉萨市人民政府 / 西藏自治区体育局,2025-09-21 00:00,150/100/60,报名时缴费,7000,,拉萨市体育局、中体大健康,拉萨半程马拉松
全程 / 半程 / 短距离,2025-07-05 11:00,官网/微信/小程序,,22000/12000/4000,https://xi-ma.com,未提及,自行评估,,ximahuipao@163.com,400-11-42195,西安西马汇跑赛事运营有限公司,2025-08-06 00:00,陕西,A / 标牌,有候补及退出机制,2025-07-27 18:00,,✔️,西安城墙-永宁门,已结束,陕西省体育局 / 西安市人民政府,2025-10-19 09:46,200/200/100,中签后缴费,40000,,西马汇跑,西安马拉松
全程 / 半程,2025-08-11 10:00,数字心动,,5000/10000,https://www.tangshan-marathon.com,未提及,自行评估,,tangshanmarathon@126.com,0315-2177100,唐山瑞跑体育文化传播有限公司,2025-08-28 00:00,河北,A,,2025-08-21 10:00,,✔️,,已结束,唐山市人民政府,2025-10-26 00:00,150/120,报名时缴费,15000,,唐山马拉松,唐山马拉松
半程 / 短距离,2025-07-21 10:00,官网/微信/小程序 / 跑跑网(马拉松报名),,5000/2000,,未提及,自行评估,,,13309501470,悦动未来（宁夏）体育文化发展有限公司,,宁夏,B,,2025-07-31 23:59,,❌,,已结束,宁夏回族自治区体育局 / 宁夏回族自治区文化和旅游厅 / 宁夏贺兰山东麓葡萄酒产业园区管理委员会 / 银川市西夏区人民政府,2025-09-14 00:00,140/80,报名时缴费,7000,,宁夏贺兰山路跑双季赛,宁夏贺兰山东麓葡萄酒产区半程马拉松路跑双季赛（金秋赛）
半程 / 短距离,2025-06-20 10:00,官网/微信/小程序,,3500/6500,https://jinchangmarathon.cn,未提及,自行评估,,,0935-8212360,甘肃行者体育管理有限公司,,甘肃,A / WA,无,2025-06-22 12:00,,❌,人民文化广场,已结束,中国田径协会 / 金昌市人民政府,2025-09-21 17:08,100/60,报名时缴费,10000,,金昌半程马拉松,金昌半程马拉松
全程 / 短距离,2025-07-27 10:00,官网/微信/小程序,,12000/8000,https://www.hengshuilakemarathon.com,未提及,自行评估,,hsmarathon@163.com,0318-8883194,北京中迹体育管理有限公司,2025-08-09 00:00,河北,A / AIMS / WA,有,2025-07-31 17:00,,✔️,衡水湖·马拉松广场,已结束,河北省体育局 / 衡水市人民政府,2025-09-21 14:05,150/50,报名时缴费,20000,,衡水湖马拉松赛,衡水湖马拉松
全程 / 半程 / 短距离,2025-07-03 10:00,官网/微信/小程序 / 智赛通,,5000/7000/8000,https://www.yulin-marathon.com,未提及,自行评估,,yulinmarathon@163.com,029-85361589,威赢赛事运营有限公司,2025-07-23 00:00,陕西,A,,2025-07-12 18:00,,✔️,,已结束,陕西省体育局 / 榆林市人民政府,2025-09-21 00:00,160/160/80,中签后缴费,20000,,榆林马拉松、威赢赛事,榆林马拉松
半程 / 短距离,2025-08-21 10:00,官网/微信/小程序 / 数字心动 / 第一赛道,,2500/500,,半程或以上,可用完赛证书,,naijirace@163.com,,北京耐吉文化传播有限公司,,河北,B,,2025-09-12 17:00,,❌,世界葡萄博览园-北门,已结束,北京市延庆区体育局 / 北京市延庆区张山营镇人民政府 / 北京八达岭文旅集团有限公司,2025-09-27 00:00,130/100,,3000,,,张山营阪泉半程马拉松
全程 / 半程 / 短距离,2025-08-12 10:00,官网/微信/小程序,,3000/10000/7000,,未提及,自行评估,,tz-marathon@xempower.com.cn,025-87775902,南京善跑体育科技有限公司,2025-09-15 00:00,江苏,B,9月10前可以退出,2025-08-31 18:00,,✔️,泰州体育公园-西门,已结束,泰州市人民政府,2025-10-19 00:00,150/100/60,报名时缴费,20000,,泰州马拉松,泰州马拉松
半程 / 短距离,2025-08-01 10:00,官网/微信/小程序,,4000/6000,,半程或以上,可用完赛证书,,kuerlemls@163.com,13076167389,南京极致体育发展有限公司,,新疆,A,,2025-09-10 18:00,,❌,鸿雁广场,已结束,巴州文化体育广播电视和旅游局 / 库尔勒市人民政府,2025-10-02 00:00,100/20,报名时缴费,10000,,库尔勒马拉松,库尔勒半程马拉松
半程 / 中距离 / 短距离,2025-09-12 10:00,官网/微信/小程序 / 数字心动,,8000/2000/2000,https://kmmarathon.saihuitong.com,未提及,现场核验,,kmmarathon@expewise.com,0871-65629970,云南行知探索体育文旅产业有限公司,2025-09-23 00:00,云南,A,,2025-09-21 18:00,,✔️,石林红杉湖温泉酒店,已结束,云南省体育局 / 昆明市人民政府,2025-10-12 00:00,150/100/50,报名时缴费,12000,,昆明高原半程马拉松赛,昆明半程马拉松
半程 / 短距离,2025-07-08 10:00,官网/微信/小程序,,12000/3000,,未提及,未提及,,tonglumls123@163.com,18058756033,浙江午马精英体育发展有限公司,2025-07-15 00:00,浙江,A,,2025-07-11 12:00,,✔️,桐庐中心广场,已结束,桐庐县人民政府,2025-10-26 00:00,150/60,中签后缴费,15000,,午马体育,桐庐半程马拉松
10km,2025-09-09 15:00,官网/微信/小程序 / 上马,,7000,https://www.shang-ma.com,未提及,自行评估,,general@shmarathon.com,400-101-5879,上海东浩兰生赛事管理有限公司,2025-09-19 00:00,上海,A / 金标,无,2025-09-12 17:00,,✔️,,已结束,上海市体育总会 / 上海市普陀区人民政府 / 东浩兰生（集团）有限公司,2025-10-26 08:40,100,中签后缴费,7000,,上马,上海10公里精英赛
全程 / 半程,2025-08-08 10:00,官网/微信/小程序 / 数字心动 / 马拉马拉,,5000/10000,https://www.huairougreatwallmarathon.com,未提及,自行评估,,pbbj@baa.org.cn,18511081160,,2025-08-25 00:00,北京,A,,2025-08-18 23:59,,✔️,北京雁栖湖国际会展中心,已结束,北京市怀柔区人民政府,2025-09-21 10:41,180/120,,15000,,怀柔长城马拉松,怀柔长城马拉松
半程,2025-08-15 10:00,官网/微信/小程序 / 数字心动,,15000,https://www.czxthmls.com,未提及,自行评估,,czxthmls@163.com,,江苏有迈体育发展股份有限公司,2025-09-12 00:00,江苏,A / 金标,报名成功后不可退出,2025-09-07 23:59,,✔️,中国花卉博览园-北门,已结束,中国田径协会 / 常州市武进区人民政府 / 常州市体育局,2025-10-26 00:00,160,中签后缴费,15000,,常州西太湖半程马拉松、有迈路跑,常州西太湖半程马拉松
全程 / 短距离,2025-05-20 10:19,官网/微信/小程序,,7000/13000/4000,,半程或以上 / 10km及以上,自行评估,,,15006555096,烟台永辉体育发展有限公司,2025-06-23 16:32,山东,A,无,2025-06-10 23:59,,✔️,烟台滨海广场,已结束,烟台市人民政府 / 烟台市体育局,2025-10-19 16:31,180/150/80,中签后缴费,24000,,永辉体育,烟台马拉松
半程 / 短距离,2025-07-01 09:00,官网/微信/小程序,,9000/900,,半程或以上,可用完赛证书,,,13006238000,,2025-08-25 00:00,江西,A,,2025-08-19 23:59,,✔️,龙虎山风景区-游客中心,已结束,鹰潭市体育局 / 鹰潭市龙虎山风景名胜区管理委员会 / 鹰潭市文化旅游投资发展集团有限公司,2025-10-08 00:00,160/110,报名时缴费,9900,,鹰潭马拉松,鹰潭龙虎山半程马拉松
全程 / 半程 / 短距离,2025-08-15 10:00,官网/微信/小程序,,1500/3500/5000,,未提及,自行评估,,,400-1111-042,浙江中迹体育发展有限公司,,新疆,A,,2025-10-05 23:59,,❌,龙潭公园,已结束,阿克苏市人民政府 / 杭州市援疆指挥部,2025-10-19 00:00,120/100/60,报名时缴费,10000,,阿克苏市马拉松,阿克苏市马拉松
全程 / 半程 / 短距离,2025-07-22 10:00,官网/微信/小程序 / 数字心动,,4000/10000/6000,https://sichuanbojiesports.com,未提及,必须,,,13529388388,四川博捷体育文化传播有限公司,2025-08-25 00:00,云南,A,,2025-08-15 22:00,,✔️,玉溪市聂耳文化广场-生态广场,已结束,云南省体育局 / 玉溪市人民政府,2025-10-03 00:00,200/150/60,报名时缴费,20000,,玉溪马拉松,玉溪马拉松
全程 / 半程 / 短距离,2025-07-22 10:00,官网/微信/小程序,,3000/5000/7000,https://klmymarathon.xempower.cn,未提及,自行评估,,klmymarathon@163.com,025-87775902,南京善跑体育科技有限公司,2025-09-15 00:00,新疆,A,,2025-08-31 17:00,,✔️,克拉玛依市体育馆,已结束,克拉玛依市人民政府,2025-10-06 00:00,150/120/80,报名时缴费,15000,,克拉玛依马拉松,克拉玛依马拉松
全程 / 半程 / 中距离 / 短距离,2025-05-20 13:14,官网/微信/小程序 / 数字心动,,3000/10000/3000/6000,,未提及,自行评估,,xinyumls@126.com,,安徽波动体育文化科技有限公司,2025-08-11 13:12,江西,A / 标牌,,2025-07-31 22:00,,✔️,新余市体育中心,已结束,江西省体育局 / 新余市人民政府,2025-10-26 09:00,120/100/60/50,报名时缴费,22000,,仙女湖马拉松,新余仙女湖马拉松
全程 / 半程,2025-07-18 10:00,官网/微信/小程序 / 数字心动 / 润赛美佳,,3000/6000,,未提及,必须,,,18008053490,成都中体大健康体育文化传播有限公司,,四川,A,,2025-08-10 18:00,,❌,三江路与学园街交叉口,已结束,宜宾市人民政府 / 四川省田径协会,2025-10-12 00:00,150/120/100/60,报名时缴费,9000,,宜宾长江马拉松,宜宾长江首城马拉松
半程 / 短距离,2025-08-06 12:00,官网/微信/小程序,,7000/3000,http://www.cityrun.cc/front/marathon/index/uid/15186.html,未提及,未提及,,,13713809641,深圳市微马城市发展有限公司,,福建,B,,2025-09-26 23:59,,❌,泰宁县人民政府,已结束,泰宁县人民政府,2025-10-26 00:00,128/88,报名时缴费,10000,,泰宁半程马拉松,泰宁半程马拉松
全程 / 半程 / 短距离,2025-08-15 10:00,官网/微信/小程序,,1000/2000/2000,,马拉松项目需半程以上完赛经历 / 10km及以上,自行评估,,,13071117160,中奥智胜（北京）体育发展有限公司,,河北,A,,2025-08-25 23:59,,❌,官厅水库国家湿地公园游客中心,已结束,怀来县人民政府,2025-09-21 00:00,160/120/100,,5000,,奥盈体育,官厅湖马拉松
半程,2025-08-13 10:00,官网/微信/小程序 / 汇跑参赛助手,,17000,https://lihu.marathon.org.cn,未提及,自行评估,,kefu@ihuipao.com,400-99-42195,无锡汇跑体育有限公司,2025-08-26 00:00,江苏,A / 标牌,有退出候补机制,2025-08-21 17:00,,✔️,太湖西大道与隐秀路交叉口,已结束,无锡市滨湖区人民政府,2025-11-02 09:04,160,中签后缴费,17000,,汇跑赛事,环蠡湖半程马拉松
全程 / 半程,2025-08-11 10:00,官网/微信/小程序,,4000/8000,https://https:/h't,未提及,自行评估,,tianmuhumarathon@xempower.com.cn,025-87775902,南京善跑体育科技有限公司,2025-09-19 00:00,江苏,A,无,2025-09-07 18:00,,✔️,燕湖公园,已结束,溧阳市人民政府 / 常州市体育局,2025-11-16 00:00,150/120,报名时缴费,12000,,天目湖马拉松,天目湖马拉松
半程,2025-06-18 15:00,官网/微信/小程序 / 数字心动,,8000,,未提及,自行评估,,,,,2025-07-31 00:00,安徽,A,,2025-07-18 15:00,,✔️,,已结束,安徽省体育局 / 马鞍山市人民政府,2025-11-02 10:03,100,报名时缴费,8000,,采石矶马拉松,马鞍山·采石矶半程马拉松
10km / 短距离,2025-09-08 14:00,官网/微信/小程序 / 数字心动,,7000/5000,,10km及以上,可用完赛证书,,china_beihai_10k@163.com,19162285560,,2025-10-01 00:00,广西,A / WA,,2025-10-15 18:00,,✔️,上海路旅游集散中心,已结束,中国田径协会 / 广西壮族自治区体育局 / 北海市人民政府,2025-10-26 00:00,100/60,报名时缴费,12000,,北海10K精英赛,中国田径协会10公里精英赛（北海站）
全程 / 半程,2025-06-10 10:00,官网/微信/小程序 / 数字心动,,4000/12000,,半程或以上,可用完赛证书,,,,浙江横店体育发展有限公司,,浙江,A,,2025-09-03 17:00,,❌,,已结束,东阳市人民政府 / 横店集团,2025-11-16 09:21,180/150,,16000,,,横店马拉松
全程 / 半程,2025-09-08 10:00,官网/微信/小程序 / 数字心动,,3000/6000,,未提及,自行评估,,chuzhoumls@163.com,,,,安徽,A,,2025-10-15 10:00,,❌,滁州奥体中心,已结束,安徽省体育局 / 滁州市人民政府,2025-11-16 10:06,150/120,报名时缴费,15000,,滁州马拉松,滁州马拉松
半程,2025-09-08 10:00,官网/微信/小程序 / 数字心动,,3000,https://www.world550.com,未提及,必须,,,17821357388,戈友文化传媒（上海）有限公司,,浙江,B,,2025-10-10 10:00,,❌,平湖农业经济开发区(广陈镇),已结束,平湖市人民政府 / 上海市金山区人民政府,2025-11-16 00:00,120,报名时缴费,3000,,550体育、平湖农开、廊下生活,平湖金山半程马拉松
10km / 短距离,2025-09-30 10:00,官网/微信/小程序 / 数字心动,,7000/2500,,未提及,自行评估,,xiamen10k@163.com,13338467323,,2025-10-29 00:00,福建,A / WA,,2025-10-24 12:00,,✔️,厦门国际博览中心,已结束,中国田径协会 / 厦门市体育局 / 厦门市翔安区人民政府,2025-11-22 00:00,100/80,报名时缴费,9500,,厦门翔安10K精英赛,"中国田径协会10公里精英赛（厦门·翔安站）
"
全程 / 半程,2025-08-26 15:00,官网/微信/小程序,,20000/12000,,马拉松项目需半程以上完赛经历,必须,,,,浙江黄龙体育发展有限公司 / 南京善跑体育科技有限公司,2025-09-15 00:00,浙江,A / 金标 / AIMS,,2025-09-01 17:00,,✔️,黄龙体育中心体育场,已结束,浙江省体育局 / 杭州市人民政府,2025-11-02 09:46,200/150,中签后缴费,32000,,杭州马拉松,杭州马拉松
半程,2025-08-08 10:00,官网/微信/小程序 / 汇跑参赛助手 / 数字心动,,7000,,未提及,自行评估,,1472901668@qq.com,18915389021,江阴市澄和体育产业发展有限公司,2025-09-05 00:00,江苏,A,,2025-08-28 15:00,,✔️,,已结束,江阴市人民政府,2025-11-09 00:00,120,,7000,,,江阴新桥镇半程马拉松
全程,2025-09-10 10:00,官网/微信/小程序 / 数字心动 / 马拉马拉,,32000,https://www.beijing-marathon.com,半程或以上,自行评估,,oc@beijing-marathon.com,010-67167482,,2025-10-09 00:00,北京,A / 金标 / AIMS / CMM,,2025-09-15 18:00,https://docimg10.docs.qq.com/image/AgAACG-qqCGotTuRR-5DKIsqZozGv4Ho.png?w=1080&h=1527,✔️,天安门广场-入口,已结束,中国田径协会 / 北京市体育局 / 中央广播电视总台,2025-11-02 00:00,200,中签后缴费,32000,,北京马拉松,北京马拉松
